strategy,split,bars,net_bps_per_bar,gross_bps_per_bar,cost_bps_per_bar,sharpe_net,sharpe_gross,ann_return_pct,max_dd_pct,turnover_per_bar,breakeven_cost_bps,p_value,family,fee_model,hold,lookback,top_n,channel
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=1",train,3240,-7.329673950908104,6.381771522342925,13.711445473251027,-2.344657774987082,2.042462145815364,-160.51985952488747,-327.9446142387315,1.4876543209876543,4.2898215212429625,0.997,H3 短期リバーサル(横断),taker,1,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=1",test,2111,-12.21963343005523,3.8160131829244013,16.03564661297963,-3.2370747144065604,1.010627347357997,-267.60997211820955,-307.59432877114625,1.7268277277751458,2.209840114069151,0.9945,H3 短期リバーサル(横断),taker,1,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=1",full,5399,-9.005564441202308,5.62328658059185,14.628851021794159,-2.6505796493062648,1.6554351454933116,-197.22186126233058,-495.58459371119756,1.5838735568315119,3.5503380660265926,1.0,H3 短期リバーサル(横断),taker,1,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=1",train,3240,-1.5896919550233306,6.381771522342925,7.971463477366255,-0.5087514953890346,2.042462145815364,-34.81425381501094,-187.061623043542,1.4876543209876543,4.2898215212429625,0.71425,H3 短期リバーサル(横断),half-maker,1,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=1",test,2111,-5.496930919396773,3.8160131829244013,9.312944102321174,-1.4560679975803836,1.010627347357997,-120.38278713478934,-200.43661649309595,1.7268277277751458,2.209840114069151,0.9015,H3 短期リバーサル(横断),half-maker,1,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=1",full,5399,-2.8790440979288627,5.62328658059185,8.502330678520712,-0.8475826755518654,1.6554351454933116,-63.0510657446421,-203.81873537403052,1.5838735568315119,3.5503380660265926,0.88775,H3 短期リバーサル(横断),half-maker,1,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=1",train,3240,4.15029004086144,6.381771522342925,2.231481481481482,1.328387482373357,2.042462145815364,90.89135189486554,-78.43210372944655,1.4876543209876543,4.2898215212429625,0.06075,H3 短期リバーサル(横断),maker-only(理論上限),1,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=1",test,2111,1.2257715912616804,3.8160131829244013,2.5902415916627195,0.324649549674047,1.010627347357997,26.844397848630802,-116.61048560153951,1.7268277277751458,2.209840114069151,0.3725,H3 短期リバーサル(横断),maker-only(理論上限),1,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=1",full,5399,3.247476245344581,5.62328658059185,2.375810335247268,0.9560818950334661,1.6554351454933116,71.11972977304632,-116.61048560153924,1.5838735568315119,3.5503380660265926,0.0735,H3 短期リバーサル(横断),maker-only(理論上限),1,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=2",train,3240,-5.05200026286136,1.7915182556571585,6.8435185185185174,-1.6236463516054231,0.5762301644253341,-110.63880575666379,-252.04452767595717,0.7449588477366255,2.404855330063193,0.9535,H3 短期リバーサル(横断),taker,2,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=2",test,2111,-5.59747078256748,2.5922892048002764,8.189759987367756,-1.5072950263002731,0.6992150218223192,-122.58461013822782,-172.16733217535304,0.8806252960682142,2.9436915069033796,0.932,H3 短期リバーサル(横断),taker,2,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=2",full,5399,-5.068712892058727,2.3033158787012895,7.372028770760019,-1.509414342789994,0.686686103685299,-111.00481233608612,-310.60641890174725,0.7991603383342594,2.882169907858837,0.9915,H3 短期リバーサル(横断),taker,2,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=2",train,3240,-2.1889601394045703,1.7915182556571585,3.980478395061728,-0.7040189988083032,0.5762301644253341,-47.938227052960094,-195.96513955325875,0.7449588477366255,2.404855330063193,0.763,H3 短期リバーサル(横断),half-maker,2,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=2",test,2111,-2.163059760934764,2.5922892048002764,4.755348965735038,-0.5830518089122774,0.6992150218223192,-47.371008764471334,-125.45186600817178,0.8806252960682142,2.9436915069033796,0.70675,H3 短期リバーサル(横断),half-maker,2,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=2",full,5399,-1.9820687604294132,2.3033158787012895,4.2853846391307036,-0.5907321715682106,0.686686103685299,-43.40730585340415,-195.96513955325875,0.7991603383342594,2.882169907858837,0.817,H3 短期リバーサル(横断),half-maker,2,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=2",train,3240,0.6740799840522197,1.7915182556571585,1.1174382716049382,0.2168382443065006,0.5762301644253341,14.76235165074361,-140.11263955325884,0.7449588477366255,2.404855330063193,0.4085,H3 短期リバーサル(横断),maker-only(理論上限),2,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=2",test,2111,1.2713512606979545,2.5922892048002764,1.3209379441023212,0.3428904762783686,0.6992150218223192,27.842592609285205,-82.81024906330072,0.8806252960682142,2.9436915069033796,0.3455,H3 短期リバーサル(横断),maker-only(理論上限),2,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=2",full,5399,1.1045753711998998,2.3033158787012895,1.198740507501389,0.32931777244460775,0.686686103685299,24.190200629277804,-140.11263955325884,0.7991603383342594,2.882169907858837,0.31175,H3 短期リバーサル(横断),maker-only(理論上限),2,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=3",train,3240,-2.8834398262560854,1.7077895976122264,4.591229423868312,-0.9881464040560287,0.5850993421718941,-63.14733219500827,-186.10089774016646,0.49526748971193413,3.448216636641221,0.85425,H3 短期リバーサル(横断),taker,3,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=3",test,2111,-3.860559576115343,1.6680208754873715,5.528580451602715,-1.0746434112977652,0.46507757605085215,-84.546254716926,-102.47352658829345,0.5850307910942681,2.851167666521329,0.873,H3 短期リバーサル(横断),taker,3,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=3",full,5399,-2.9018648623588086,2.0579733792908783,4.959838241649689,-0.9075571834020594,0.6440271391300377,-63.550840485657915,-186.10089774016646,0.5312094832376366,3.874127710875681,0.92075,H3 短期リバーサル(横断),taker,3,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=3",train,3240,-0.959275731605881,1.7077895976122264,2.667065329218107,-0.3288274480771321,0.5850993421718941,-21.008138522168796,-139.25423107350002,0.49526748971193413,3.448216636641221,0.60475,H3 短期リバーサル(横断),half-maker,3,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=3",test,2111,-1.5350424436346872,1.6680208754873715,3.2030633191220588,-0.4277146621108809,0.46507757605085215,-33.61742951559965,-63.43964216659933,0.5850307910942681,2.851167666521329,0.68075,H3 短期リバーサル(横断),half-maker,3,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=3",full,5399,-0.8203528539621917,2.0579733792908783,2.8783262332530715,-0.2567163468823267,0.6440271391300377,-17.965727501772,-139.25423107350002,0.5312094832376366,3.874127710875681,0.66425,H3 短期リバーサル(横断),half-maker,3,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=3",train,3240,0.9648883630443252,1.7077895976122264,0.7429012345679011,0.33066421863783435,0.5850993421718941,21.131055150670726,-92.40756440683336,0.49526748971193413,3.448216636641221,0.306,H3 短期リバーサル(横断),maker-only(理論上限),3,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=3",test,2111,0.7904746888459692,1.6680208754873715,0.877546186641402,0.22037755947108528,0.46507757605085215,17.311395685726723,-53.00047549993273,0.5850307910942681,2.851167666521329,0.41725,H3 短期リバーサル(横断),maker-only(理論上限),3,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=3",full,5399,1.2611591544344232,2.0579733792908783,0.7968142248564548,0.3947083429165924,0.6440271391300377,27.619385482113866,-92.40756440683336,0.5312094832376366,3.874127710875681,0.254,H3 短期リバーサル(横断),maker-only(理論上限),3,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=6",train,3240,-1.2017865935127399,1.1443039414666845,2.346090534979423,-0.41094201813760256,0.39151558465915953,-26.319126397929004,-110.50337317277523,0.25123456790123455,4.554723305100809,0.68175,H3 短期リバーサル(横断),taker,6,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=6",test,2111,-4.004336312940969,-1.0869590825604216,2.917377230380546,-1.1476544763632592,-0.31186963981897997,-87.6949652534072,-99.4028943359776,0.3023843360176851,-3.594627608279452,0.89475,H3 短期リバーサル(横断),taker,6,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=6",full,5399,-1.988080531785503,0.5795091453151953,2.567589677100697,-0.6294976002850152,0.18363950838734164,-43.538963646102516,-124.80079235678767,0.2714082854849663,2.135193272672934,0.85725,H3 短期リバーサル(横断),taker,6,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=6",train,3240,-0.21716725194895375,1.1443039414666845,1.3614711934156376,-0.07429383455744597,0.39151558465915953,-4.755962817682088,-81.44476584028428,0.25123456790123455,4.554723305100809,0.5365,H3 短期リバーサル(横断),half-maker,6,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=6",test,2111,-2.772435949763959,-1.0869590825604216,1.685476867203537,-0.7951127105783561,-0.31186963981897997,-60.716347299830694,-76.01138851067711,0.3023843360176851,-3.594627608279452,0.80225,H3 短期リバーサル(横断),half-maker,6,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=6",full,5399,-0.9078419073488785,0.5795091453151953,1.4873510526640734,-0.28761285997866176,0.18363950838734164,-19.88173777094044,-81.44476584028428,0.2714082854849663,2.135193272672934,0.69875,H3 短期リバーサル(横断),half-maker,6,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=6",train,3240,0.7674520896148314,1.1443039414666845,0.3768518518518518,0.26258706661403514,0.39151558465915953,16.807200762564808,-71.40096399116166,0.25123456790123455,4.554723305100809,0.37225,H3 短期リバーサル(横断),maker-only(理論上限),6,1.0,3.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 3} hold=6",test,2111,-1.5405355865869503,-1.0869590825604216,0.4535765040265276,-0.4419747264970012,-0.31186963981897997,-33.73772934625421,-63.421497317077616,0.3023843360176851,-3.594627608279452,0.68975,H3 短期リバーサル(横断),maker-only(理論上限),6,1.0,3.0,
