,H3 リバーサル lb=12 top3,H3 リバーサル lb=6 top5,H5 リードラグ lb=12 top3
1,4.36,1.16,4.25
2,8.16,2.91,8.03
3,11.02,4.6,10.64
4,11.69,5.75,11.25
5,12.05,6.69,11.86
6,12.82,8.14,12.23
7,13.57,9.7,12.79
8,14.1,11.02,12.79
9,14.42,11.81,13.52
10,14.46,11.18,13.7
11,14.27,9.77,13.91
12,14.18,8.85,13.7
13,14.22,7.87,13.65
14,14.88,6.5,14.2
15,16.36,5.21,15.46
16,18.0,5.03,17.25
17,18.0,4.99,17.19
18,18.36,5.14,17.61
19,18.83,5.74,18.23
20,19.29,6.61,18.33
21,20.55,7.54,19.32
22,21.65,8.39,20.25
23,21.73,8.96,20.05
24,21.11,8.71,18.87
25,20.83,8.88,18.15
26,20.31,8.8,17.77
27,18.97,8.02,16.09
28,17.53,7.71,14.72
29,17.22,7.16,14.3
30,17.68,7.73,14.96
31,18.27,7.48,15.14
32,17.75,6.88,14.45
33,17.05,6.27,14.19
34,16.46,5.74,13.39
35,16.5,4.74,13.37
36,15.55,4.63,12.6
37,15.62,4.35,12.37
38,15.67,3.83,11.91
39,16.08,3.89,12.02
40,16.78,3.1,13.04
41,18.1,2.99,14.38
42,18.71,2.56,14.95
43,19.62,1.85,15.72
44,20.36,1.89,16.43
45,20.74,2.14,16.76
46,21.26,2.92,17.53
47,21.28,3.02,17.97
48,22.05,4.84,18.62
