仮説,執行,最良パラメータ,train_SR,test_SR,test_年率%,test_p値,系列test_SR中央値,系列test_SR>0率,損益分岐bps,回転/本
H1 FRキャリー(横断),taker,"{""lookback"": 8, ""top_n"": 3, ""hold"": 6}",0.27,-3.95,-176.7,0.98,-2.75,0.04,-6.85,0.125
H2 FR順張り(横断),taker,"{""lookback"": 24, ""top_n"": 5, ""hold"": 24}",1.53,0.42,13.8,0.42,-0.94,0.25,13.14,0.043
H3 短期リバーサル(横断),taker,"{""lookback"": 6, ""top_n"": 3, ""hold"": 12}",1.5,-2.54,-188.5,0.878,-3.17,0.06,-5.15,0.145
H4 モメンタム(横断),taker,"{""lookback"": 168, ""top_n"": 5, ""hold"": 24}",-0.31,-3.36,-160.2,0.942,-6.76,0.0,-39.52,0.037
H5 BTCリードラグ(横断),taker,"{""lookback"": 6, ""top_n"": 3, ""hold"": 12}",1.42,-2.34,-177.0,0.867,-3.67,0.04,-4.24,0.146
H6 レンジ圧縮ブレイク(方向),taker,"{""channel"": 48, ""hold"": 12}",1.38,-2.51,-167.4,0.922,-1.48,0.04,1.83,0.245
対照 ランダム,taker,"{""lookback"": 24, ""top_n"": 3, ""hold"": 24}",0.56,-1.03,-37.3,0.663,-7.92,0.0,4.4,0.08
H1 FRキャリー(横断),half-maker,"{""lookback"": 8, ""top_n"": 3, ""hold"": 6}",1.03,-3.0,-134.2,0.94,-2.01,0.1,-6.85,0.125
H2 FR順張り(横断),half-maker,"{""lookback"": 24, ""top_n"": 5, ""hold"": 24}",1.97,0.88,29.0,0.334,-0.31,0.44,13.14,0.043
H3 短期リバーサル(横断),half-maker,"{""lookback"": 6, ""top_n"": 3, ""hold"": 12}",2.16,-1.84,-136.5,0.796,-1.41,0.25,-5.15,0.145
H4 モメンタム(横断),half-maker,"{""lookback"": 72, ""top_n"": 5, ""hold"": 24}",-0.05,-4.53,-216.4,0.986,-5.68,0.0,-44.34,0.049
H5 BTCリードラグ(横断),half-maker,"{""lookback"": 6, ""top_n"": 3, ""hold"": 12}",2.08,-1.66,-125.1,0.78,-1.7,0.23,-4.24,0.146
H6 レンジ圧縮ブレイク(方向),half-maker,"{""channel"": 48, ""hold"": 12}",1.95,-1.2,-80.2,0.768,-0.58,0.3,1.83,0.245
対照 ランダム,half-maker,"{""lookback"": 24, ""top_n"": 3, ""hold"": 24}",1.38,-0.23,-8.5,0.513,-4.66,0.0,4.4,0.08
H1 FRキャリー(横断),maker-only(理論上限),"{""lookback"": 8, ""top_n"": 3, ""hold"": 2}",1.78,-0.03,-1.1,0.484,-1.18,0.25,1.42,0.172
H2 FR順張り(横断),maker-only(理論上限),"{""lookback"": 24, ""top_n"": 5, ""hold"": 24}",2.42,1.34,44.2,0.258,0.33,0.62,13.14,0.043
H3 短期リバーサル(横断),maker-only(理論上限),"{""lookback"": 12, ""top_n"": 3, ""hold"": 1}",3.48,3.53,281.2,0.029,1.74,0.69,6.77,0.609
H4 モメンタム(横断),maker-only(理論上限),"{""lookback"": 72, ""top_n"": 5, ""hold"": 24}",0.27,-4.14,-197.8,0.978,-4.6,0.0,-44.34,0.049
H5 BTCリードラグ(横断),maker-only(理論上限),"{""lookback"": 12, ""top_n"": 3, ""hold"": 1}",3.49,3.17,252.9,0.042,1.41,0.6,6.23,0.61
H6 レンジ圧縮ブレイク(方向),maker-only(理論上限),"{""channel"": 48, ""hold"": 12}",2.52,0.11,7.1,0.495,0.2,0.59,1.83,0.245
対照 ランダム,maker-only(理論上限),"{""lookback"": 24, ""top_n"": 3, ""hold"": 24}",2.2,0.56,20.4,0.364,-1.57,0.17,4.4,0.08
