ts_utc,ts_jst,usdjpy_ref,usdjpy_ref_is_weekend,usdjpy_ref_source,BTC_bitflyer_bid,BTC_bitflyer_ask,BTC_bitbank_bid,BTC_bitbank_ask,BTC_gmo_bid,BTC_gmo_ask,BTC_coincheck_bid,BTC_coincheck_ask,BTC_domestic_mid,BTC_hl_perp_mid,BTC_hl_funding_hourly,BTC_funding_apr_pct,BTC_effective_usdjpy,BTC_effective_usdjpy_dev_pct,BTC_domestic_cross_pct,BTC_domestic_cross_pair,ETH_bitflyer_bid,ETH_bitflyer_ask,ETH_bitbank_bid,ETH_bitbank_ask,ETH_gmo_bid,ETH_gmo_ask,ETH_coincheck_bid,ETH_coincheck_ask,ETH_domestic_mid,ETH_hl_perp_mid,ETH_hl_funding_hourly,ETH_funding_apr_pct,ETH_effective_usdjpy,ETH_effective_usdjpy_dev_pct,ETH_domestic_cross_pct,ETH_domestic_cross_pair,XRP_bitflyer_bid,XRP_bitflyer_ask,XRP_bitbank_bid,XRP_bitbank_ask,XRP_gmo_bid,XRP_gmo_ask,XRP_coincheck_bid,XRP_coincheck_ask,XRP_domestic_mid,XRP_hl_perp_mid,XRP_hl_funding_hourly,XRP_funding_apr_pct,XRP_effective_usdjpy,XRP_effective_usdjpy_dev_pct,XRP_domestic_cross_pct,XRP_domestic_cross_pair,SOL_bitflyer_bid,SOL_bitflyer_ask,SOL_bitbank_bid,SOL_bitbank_ask,SOL_gmo_bid,SOL_gmo_ask,SOL_coincheck_bid,SOL_coincheck_ask,SOL_domestic_mid,SOL_hl_perp_mid,SOL_hl_funding_hourly,SOL_funding_apr_pct,SOL_effective_usdjpy,SOL_effective_usdjpy_dev_pct,SOL_domestic_cross_pct,SOL_domestic_cross_pair,DOGE_bitflyer_bid,DOGE_bitflyer_ask,DOGE_bitbank_bid,DOGE_bitbank_ask,DOGE_gmo_bid,DOGE_gmo_ask,DOGE_coincheck_bid,DOGE_coincheck_ask,DOGE_domestic_mid,DOGE_hl_perp_mid,DOGE_hl_funding_hourly,DOGE_funding_apr_pct,DOGE_effective_usdjpy,DOGE_effective_usdjpy_dev_pct,DOGE_domestic_cross_pct,DOGE_domestic_cross_pair,LTC_bitflyer_bid,LTC_bitflyer_ask,LTC_bitbank_bid,LTC_bitbank_ask,LTC_gmo_bid,LTC_gmo_ask,LTC_coincheck_bid,LTC_coincheck_ask,LTC_domestic_mid,LTC_hl_perp_mid,LTC_hl_funding_hourly,LTC_funding_apr_pct,LTC_effective_usdjpy,LTC_effective_usdjpy_dev_pct,LTC_domestic_cross_pct,LTC_domestic_cross_pair,hl_spot_HYPE_mid,hl_basis_HYPE_pct,hl_spot_UBTC_mid,hl_basis_UBTC_pct,hl_spot_UETH_mid,hl_basis_UETH_pct,hl_spot_USOL_mid,hl_basis_USOL_pct
2026-07-07 15:16:44,2026-07-08 00:16:44,162.128909,False,平日実勢レート(open.er-api.com),10297952.0,10304064.0,10296282.0,10296727.0,10294291.0,10298111.0,10296825.0,10299184.0,10297929.5,63638.5,1.25e-05,10.95,161.81917393,-0.19104247,0.01189698,bitflyer(bid)>bitbank(ask),289509.0,289710.0,289495.0,289496.0,289437.0,289490.0,289165.0,289470.0,289471.5,1789.45,1.25e-05,10.95,161.76562631,-0.22407027,0.0134729,bitflyer(bid)>coincheck(ask),181.58,181.85,181.757,181.758,181.611,181.655,181.606,181.83,181.705875,1.12245,9e-06,7.8873288,161.88326874,-0.15150923,0.05615039,bitbank(bid)>gmo(ask),,,13217.4,13217.5,13210.0,13215.0,13154.0,13281.0,13215.81666667,81.6635,1.25e-05,10.95,161.83260167,-0.18276033,0.01816118,bitbank(bid)>gmo(ask),,,12.091,12.092,12.085,12.09,12.11,12.254,12.12033333,0.074716,1.25e-05,10.95,162.21871264,0.05539027,0.16542597,coincheck(bid)>gmo(ask),,,7153.3,7154.9,7110.0,7151.0,,,7142.3,44.193,1.25e-05,10.95,161.61609305,-0.31630137,0.03216333,bitbank(bid)>gmo(ask),72.423,-0.02208755,63553.0,-0.13435263,1786.8,-0.1480902,81.5665,-0.11878012
2026-07-07 15:19:47,2026-07-08 00:19:47,162.128909,False,平日実勢レート(open.er-api.com),10290651.0,10294232.0,10291787.0,10293647.0,10290442.0,10292872.0,10292668.0,10295177.0,10292684.5,63588.5,1.25e-05,10.95,161.8639298,-0.16343736,-0.00198195,coincheck(bid)>gmo(ask),289261.0,289491.0,289339.0,289340.0,289092.0,289208.0,289010.0,289333.0,289259.25,1787.85,1.25e-05,10.95,161.79167715,-0.20800229,0.04529612,bitbank(bid)>gmo(ask),181.5,181.69,181.771,181.772,181.582,181.652,181.575,181.875,181.677125,1.12215,9.17e-06,8.0361612,161.90092679,-0.14061786,0.06550988,bitbank(bid)>gmo(ask),,,13214.9,13215.0,13211.0,13213.0,13155.0,13281.0,13214.98333333,81.6655,1.25e-05,10.95,161.81843414,-0.19149877,0.01437978,bitbank(bid)>gmo(ask),,,12.082,12.083,12.072,12.083,12.11,12.209,12.1065,0.074626,1.25e-05,10.95,162.22898186,0.06172425,0.22345444,coincheck(bid)>bitbank(ask),,,7150.2,7153.6,7112.0,7150.0,,,7141.45,44.1715,1.25e-05,10.95,161.67551475,-0.27965046,0.0027972,bitbank(bid)>gmo(ask),72.1,-0.03812693,63525.5,-0.09907452,1785.75,-0.11745952,81.589,-0.09367481
2026-07-28 21:41:20,2026-07-29 06:41:20,163.722491,False,平日実勢レート(open.er-api.com),10472934.0,10475238.0,10474999.0,10475000.0,10468080.0,10469319.0,10474510.0,10476118.0,10473274.75,63989.5,8.12e-06,7.1168868,163.67177037,-0.03097964,0.05425377,bitbank(bid)>gmo(ask),314360.0,314578.0,314520.0,314521.0,314408.0,314522.0,314291.0,314499.0,314462.375,1921.55,1.25e-05,10.95,163.6503734,-0.04404868,0.00667729,bitbank(bid)>coincheck(ask),174.32,174.53,174.412,174.413,174.408,174.442,174.294,174.512,174.416375,1.06485,-7.5e-07,-0.6562116,163.79431375,0.04386859,-0.00286676,gmo(bid)>bitbank(ask),,,12151.5,12153.6,12143.0,12153.0,12126.0,12199.0,12154.35,74.2325,-1.448e-05,-12.6812388,163.73353989,0.00674855,-0.01234263,bitbank(bid)>gmo(ask),,,11.601,11.602,11.594,11.596,11.57,11.632,11.59916667,0.070863,1.25e-05,10.95,163.6843863,-0.02327395,0.04311832,bitbank(bid)>gmo(ask),,,7610.0,7610.1,7600.0,7621.0,,,7610.275,46.462,8.51e-06,7.458264,163.79568249,0.04470461,-0.13271836,gmo(bid)>bitbank(ask),55.5155,0.00360273,63939.5,-0.07813782,1920.25,-0.06765372,74.1905,-0.05657899
2026-07-28 21:45:00,2026-07-29 06:45:00,163.722491,False,平日実勢レート(open.er-api.com),10474701.0,10478153.0,10474999.0,10475000.0,10473957.0,10475791.0,10479857.0,10481461.0,10476739.875,64031.5,8.94e-06,7.8298632,163.61852955,-0.06349857,0.04636754,coincheck(bid)>bitbank(ask),314522.0,314600.0,314514.0,314515.0,314625.0,314760.0,314396.0,314703.0,314579.375,1927.85,1.25e-05,10.95,163.17627149,-0.33362521,0.03497448,gmo(bid)>bitbank(ask),174.37,174.53,174.496,174.497,174.521,174.554,174.357,174.589,174.48925,1.06615,-9.5e-07,-0.83439,163.66294611,-0.0363694,0.01375382,gmo(bid)>bitbank(ask),,,12157.3,12158.5,12152.0,12156.0,12128.0,12199.0,12158.46666667,74.3185,-1.392e-05,-12.1896276,163.59946267,-0.07514443,0.01069431,bitbank(bid)>gmo(ask),,,11.617,11.618,11.605,11.612,11.596,11.632,11.61333333,0.071034,1.25e-05,10.95,163.48978423,-0.14213488,0.0430589,bitbank(bid)>gmo(ask),,,7604.3,7604.4,7596.0,7621.0,,,7606.425,46.462,8.75e-06,7.6642992,163.71281908,-0.00590751,-0.11046236,gmo(bid)>bitbank(ask),55.5705,-0.04406871,63966.5,-0.10151254,1921.75,-0.31641466,74.248,-0.09486198
2026-07-28 22:42:23,2026-07-29 07:42:23,163.722491,False,平日実勢レート(open.er-api.com),10463966.0,10467391.0,10461247.0,10461248.0,10457580.0,10460367.0,10462252.0,10462926.0,10462122.125,63861.5,7.36e-06,6.4499004,163.82518615,0.06272513,0.03440606,bitflyer(bid)>gmo(ask),314020.0,314157.0,314055.0,314056.0,314068.0,314268.0,313769.0,314059.0,314056.5,1916.85,2.56e-06,2.2396692,163.83989358,0.07170828,0.00382097,gmo(bid)>bitbank(ask),174.57,174.79,174.71,174.711,174.665,174.699,174.531,174.697,174.671625,1.06615,7e-08,0.060444,163.83400553,0.06811192,0.00744146,bitbank(bid)>coincheck(ask),,,12094.9,12095.0,12086.0,12093.0,12010.0,12148.0,12087.81666667,73.7785,-1.284e-05,-11.2448616,163.83928471,0.07133638,0.01571157,bitbank(bid)>gmo(ask),,,11.579,11.58,11.573,11.581,11.558,11.602,11.57883333,0.070712,1.25e-05,10.95,163.74637025,0.0145852,-0.01726967,bitbank(bid)>gmo(ask),,,7559.0,7559.1,7549.0,7588.0,,,7563.775,46.116,3.1e-06,2.7187536,164.01628502,0.17944634,-0.13361379,gmo(bid)>bitbank(ask),55.4605,0.00901624,63826.5,-0.0548061,1915.95,-0.04695203,73.7565,-0.02981899
2026-07-28 23:38:06,2026-07-29 08:38:06,163.722491,False,平日実勢レート(open.er-api.com),10440750.0,10444648.0,10440150.0,10441504.0,10438825.0,10440261.0,10441339.0,10442918.0,10441299.375,63746.5,6.8e-07,0.5986584,163.79408085,0.04372634,0.01032541,coincheck(bid)>gmo(ask),313626.0,313731.0,313598.0,313599.0,313605.0,313761.0,313127.0,313498.0,313568.125,1915.15,-3.2e-07,-0.2765532,163.73032138,0.00478272,0.04082961,bitflyer(bid)>coincheck(ask),174.41,174.51,174.524,174.525,174.518,174.6,174.336,174.608,174.503875,1.06565,-3.17e-06,-2.7798984,163.75346033,0.01891575,0.00802246,bitbank(bid)>bitflyer(ask),,,12029.9,12037.4,12029.0,12034.0,11997.0,12081.0,12034.71666667,73.4655,-1.945e-05,-17.0398644,163.81453426,0.05621907,-0.03407013,bitbank(bid)>gmo(ask),,,11.53,11.531,11.526,11.531,11.504,11.554,11.52933333,0.070394,6.52e-06,5.7100308,163.78289816,0.03689607,-0.00867227,bitbank(bid)>gmo(ask),,,7557.9,7558.0,7549.0,7550.0,,,7553.725,46.13,-1.391e-05,-12.1824444,163.74864513,0.01597467,0.10463576,bitbank(bid)>gmo(ask),54.8135,0.01642201,63695.5,-0.08000439,1913.35,-0.09398742,73.4165,-0.06669797
2026-07-29 01:05:32,2026-07-29 10:05:32,163.830599,False,平日実勢レート(open.er-api.com),10462366.0,10465394.0,10466483.0,10466484.0,10459451.0,10460182.0,10465253.0,10469652.0,10464408.125,63938.5,1.25e-05,10.95,163.66364749,-0.10190496,0.06023796,bitbank(bid)>gmo(ask),313502.0,313647.0,313677.0,313651.0,313478.0,313650.0,313372.0,313631.0,313576.0,1916.35,1.25e-05,10.95,163.6319044,-0.12128052,0.01466692,bitbank(bid)>coincheck(ask),176.61,176.93,176.745,176.746,176.689,176.8,176.653,176.925,176.76225,1.07965,1.241e-05,10.8739632,163.72180799,-0.06640457,-0.0311086,bitbank(bid)>gmo(ask),,,12070.5,12070.6,12057.0,12071.0,11985.0,12115.0,12061.51666667,73.7005,-9.54e-06,-8.3536236,163.65583228,-0.10667526,-0.00414216,bitbank(bid)>gmo(ask),,,11.622,11.623,11.606,11.617,11.601,11.644,11.61883333,0.070958,1.25e-05,10.95,163.74240161,-0.0538345,0.04304037,bitbank(bid)>gmo(ask),,,7588.2,7578.9,7567.0,7578.0,,,7578.025,46.2685,-1.423e-05,-12.4665312,163.78367572,-0.02864134,0.13460016,bitbank(bid)>gmo(ask),54.991,0.01727854,63887.5,-0.07976415,1915.75,-0.03130952,73.6665,-0.04613266
2026-07-29 04:27:04,2026-07-29 13:27:04,163.830599,False,平日実勢レート(open.er-api.com),10418022.0,10421016.0,10422642.0,10422643.0,10416652.0,10418345.0,10422929.0,10424714.0,10420870.375,63760.5,1.107e-05,9.6979332,163.43771418,-0.23981162,0.04399931,coincheck(bid)>gmo(ask),309336.0,309639.0,309669.0,309670.0,309428.0,309632.0,309410.0,309743.0,309565.875,1893.95,-8.52e-06,-7.4671992,163.44986668,-0.2323939,0.01194967,bitbank(bid)>gmo(ask),175.2,175.49,175.487,175.488,175.26,175.318,175.357,175.665,175.408125,1.07295,2.78e-06,2.4330024,163.48210541,-0.21271581,0.09639626,bitbank(bid)>gmo(ask),,,11952.1,11952.2,11932.0,11944.0,11901.0,11987.0,11944.71666667,73.1255,-6.3e-07,-0.5496024,163.34543581,-0.2961371,0.06781648,bitbank(bid)>gmo(ask),,,11.497,11.498,11.479,11.491,11.478,11.517,11.49333333,0.070337,-9.35e-06,-8.188848,163.40380359,-0.26051019,0.05221478,bitbank(bid)>gmo(ask),,,7372.4,7372.5,7363.0,7381.0,,,7372.225,45.0705,-1.672e-05,-14.6465448,163.57096105,-0.15847952,-0.11651538,bitbank(bid)>gmo(ask),54.076,-0.07022212,63705.5,-0.0862603,1892.25,-0.0897595,73.069,-0.07726443
2026-07-29 07:14:29,2026-07-29 16:14:29,163.830599,False,平日実勢レート(open.er-api.com),10530499.0,10534413.0,10533094.0,10533095.0,10532122.0,10533739.0,10537051.0,10539136.0,10534143.625,64442.5,1.06e-05,9.289104,163.46578151,-0.2226797,0.03755781,coincheck(bid)>bitbank(ask),313566.0,313772.0,313716.0,313717.0,313413.0,313600.0,313524.0,313879.0,313648.375,1918.75,5.21e-06,4.5669384,163.46495114,-0.22318655,0.0369898,bitbank(bid)>gmo(ask),177.77,177.97,177.739,177.74,177.642,177.727,177.749,177.87,177.775875,1.08785,1.25e-05,10.95,163.41947419,-0.25094507,0.02419441,bitflyer(bid)>gmo(ask),,,12101.5,12101.6,12084.0,12098.0,12065.0,12175.0,12104.18333333,74.0275,1.127e-05,9.876024,163.50928146,-0.19612792,0.0289304,bitbank(bid)>gmo(ask),,,11.564,11.567,11.559,11.56,11.547,11.592,11.56483333,0.070733,1.047e-05,9.172596,163.49982799,-0.20189819,0.03460208,bitbank(bid)>gmo(ask),,,7393.9,7394.0,7381.0,7408.0,,,7394.225,45.186,-4.96e-06,-4.3450476,163.63973355,-0.11650171,-0.17581823,gmo(bid)>bitbank(ask),55.3215,0.04882945,64397.5,-0.06982969,1917.5,-0.06514658,73.9725,-0.07429671
2026-07-29 09:49:20,2026-07-29 18:49:20,163.830599,False,平日実勢レート(open.er-api.com),10546959.0,10550644.0,10548819.0,10550224.0,10548968.0,10550991.0,10552685.0,10553487.0,10550347.125,64534.5,1.138e-05,9.968442,163.48382842,-0.21166411,0.02332652,coincheck(bid)>bitbank(ask),313604.0,313845.0,313740.0,313741.0,313564.0,313755.0,313684.0,313966.0,313737.375,1918.85,9.97e-06,8.730216,163.50281419,-0.20007545,-0.0047808,bitbank(bid)>gmo(ask),177.92,178.1,178.042,178.043,177.937,178.007,177.892,178.096,178.004625,1.08895,1.25e-05,10.95,163.46446118,-0.22348562,0.01966215,bitbank(bid)>gmo(ask),,,12108.8,12108.9,12108.0,12119.0,12078.0,12172.0,12115.78333333,74.0755,5.02e-06,4.3934904,163.55992647,-0.16521488,-0.00743255,gmo(bid)>bitbank(ask),,,11.576,11.577,11.571,11.576,11.54,11.621,11.57683333,0.070805,1.96e-06,1.7184492,163.50304828,-0.19993257,0.0,bitbank(bid)>gmo(ask),,,7425.1,7425.2,7409.0,7423.0,,,7420.575,45.3795,-6.29e-06,-5.5137192,163.52262586,-0.18798268,0.02829045,bitbank(bid)>gmo(ask),54.9685,0.04277004,64485.5,-0.07592838,1918.05,-0.04169164,74.033,-0.0573739
